"* Select shipping method","* Избор на метод за доставка"
"<br />Warning: <strong>%s</strong><br />","<br />Предупреждение: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices."
"A virtual item to reflect the discount total","Виртуален обект за отразяване на сумата на отстъпка"
"A virtual item to reflect the tax total","Виртуален обект за отразяване на общата сумата за данък"
"AVS Status: %s","AVS статус: %s"
"Add","Добави"
"Add Shipping Method","Добави метод на доставка"
"Allowed Methods","Позволени методи"
"Amount: %s","Сума: %s"
"Auto-generated from GoogleCheckout Charge","Автоматично генерирано от GoogleCheckout плащания"
"Buyer Account Age: %s days","Профил на купувач: %s дни"
"CC Partial: xxxx-%s","Частичен номер на кред. карта: xxxx-%s"
"CID Status: %s","CID Статус: %s"
"Carrier Calculated Methods","Методи за калкулиране от превозвач"
"Cart Discount","Отстъпки от количка"
"Checkout Image Style","Стил за изображение за разплащане"
"Continue Shopping URL","Продължи пазаруване URL"
"Credit memo has been created automatically","Credit memo has been created automatically"
"Debug","Дебъг"
"Default Package Height (in)","Височина на пакет по подразбиране (инч)"
"Default Package Length (in)","Дължина на пакет по подразбиране (инч)"
"Default Package Width (in)","Широчина на пакет по подразбиране (инч)"
"Default Price for Methods","Цена по подразбиране за методи"
"Default price:","Цена по подразбиране:"
"Delivery Address Category","Категория адрес за доставка"
"Delivery Schedule","Планиране на доставка"
"Disable Default Tax Tables","Деактивирай таблици за данъци по подразбиране"
"Discount Tax","Данък за отстъпка"
"Eligible for Protection: %s","Допустим за протекция: %s"
"Enable","Включи"
"Enable Carrier Calculated","Активирай калкулиране от превозвач"
"Enable Digital Delivery","Акативирай дигитална доставка"
"Enable Flat Rate","Активирай фиксирана ставка"
"Enable Merchant Calculated","Активирай калкулирано от търговец"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Изтичане: %s"
"Financial: %s -> %s","Финансово: %s -> %s"
"Free Shipping","Безплатна доставка"
"Fulfillment: %s -> %s","Осъществаване: %s -> %s"
"Google API","Гугъл API"
"Google Authorization:","Гугъл оторизация:"
"Google Buyer ID: %s","Google Buyer ID: %s"
"Google Charge:","Гугъл разплащане:"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Гугъл разплащане"
"Google Checkout Shipping - Carrier Calculated","Доставка за Гугъл разплащане - калкулирано от превозвач"
"Google Checkout Shipping - Digital Delivery","Доставка за Гугъл разплащане - дигитална доставка"
"Google Checkout Shipping - Flat Rate","Доставка за Гугъл разплащане - фиксирана ставка"
"Google Checkout Shipping - Merchant Calculated","Доставка за Гугъл разплащане - калкулирано от търговец"
"Google Checkout: %s","Гугъл разплащане: %s"
"Google Order Number: %s","Гугъл номер на поръчка: %s"
"Google Order Status Change:","Промяна на статус на Гугъл поръчка:"
"Google Refund:","Гугъл връщане на сума:"
"Google Risk Information:","Гугъл риск информация:"
"Hide Cart Contents","Скрий съдържанието на количката"
"IP Address: %s","IP адрес: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice Auto-Created: %s","Автоматично създадена фактура: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Желае ли купувача да получава маркетингови имейли: %s"
"Large - %s","Голямо - %s"
"Latest Charge: %s","Последно заплатено: %s"
"Latest Chargeback: %s","Latest Chargeback: %s"
"Latest Refund: %s","Последно връщане на сума: %s"
"Location","Местоположение"
"Medium - %s","Средно - %s"
"Merchant ID","Търговец ID"
"Merchant Key","Ключ на търговец
Method""
"Method","Method"
"New Order Status","Нов статус на поръчката"
"No","Не"
"Optional, leave empty for home page.","По желание, оставете празно за начална страница."
"Order creation error","Order creation error"
"Rate 1 Amount","Сума на ставка 1"
"Rate 1 Ship To Applicable Countries","Ставка 1 израща до налични държави"
"Rate 1 Ship to Specific Countries","Ставка 1 израща до определени държави"
"Rate 1 Title","Заглавие за Ставка 1"
"Rate 2 Amount","Сума на ставка 2"
"Rate 2 Ship To Applicable Countries","Ставка 2 израща до налични държави"
"Rate 2 Ship to Specific Countries","Ставка 2 израща до определени държави"
"Rate 2 Title","Заглавие за Ставка 2"
"Rate 3 Amount","Сума на ставка 3"
"Rate 3 Ship To Applicable Countries","Ставка 3 израща до налични държави"
"Rate 3 Ship to Specific Countries","Ставка 3 израща до определени държави"
"Rate 3 Title","Заглавие за Ставка 3"
"Remove","Премахни"
"Required for live Google Checkout transactions.","Задължителни за реални Google Checkout транзакции."
"Sandbox","Sandbox"
"Secure Callback URL","Сигурно URL за обратно извикване"
"Small - %s","Малко - %s"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount"
"Title","Заглавие"
"Total Chargeback: %s","Total Chargeback: %s"
"Total Charged: %s","Разплатена сума: %s"
"Total Refunded: %s","Общо върнати сума: %s"
"Transparent","Прозрачно"
"United Kingdom","Великобритания"
"United States","САЩ"
"White Background","Бял фон"
"Yes","Да"
"You will be redirected to GoogleCheckout in a few seconds.","Ще бъдете пренасочен към GoogleCheckout след няколко секунди."
