"%s Index process is working now. Please try run this process later.","%s Index process is working now. Please try run this process later."
"%s index was rebuilt.","Индекс %s беше обновен."
"'%s' Index Process Information","Информация за индекс процес '%s'"
"Action","Действие"
"Cannot initialize the indexer process.","Невъзможно е инициализирането на процес за индексиране."
"Change Index Mode","Смяна на индекс режим"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Отидете на <a href=""%s"">Управление на кеш</a> и презаредете кеш типовете."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Отидете на <a href=""%s"">Управление на индекси</a> и обновете необходимите индекси."
"Description","Описание"
"Disable","Деактивирай"
"Enable","Включи"
"General","Основни"
"Index","Индекс"
"Index Description","Индекс описание"
"Index Management","Управление на индекси"
"Index Mode","Индекс режим"
"Index Name","Индекс име"
"Index mode","Индекс режим"
"Indexer code is not defined.","Не е дефиниран код на индексатор."
"Indexer model is not defined.","Не е дефиниран модел на индексатор."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Модел на индексатор трябва да наследява Mage_Index_Model_Indexer_Abstract."
"Last Run","Последно стартирано"
"Manual Update","Ръчно обновяване"
"Mode","Режим"
"Never","Никога"
"One or more of the Indexes are not up to date:","Един или няколко индекса не са актуални:"
"Pending Events","На изчакване"
"Please select Index(es)","Моля изберете индекс(и)"
"Please select Indexes","Моля изберете индекси"
"Process Information","Информация за процес"
"Processing","В обработка"
"Ready","Готово"
"Refresh","Опресни"
"Reindex Data","Индексирай данни"
"Reindex Required","Необходимо е индексиране"
"Status","Статус"
"System","Система"
"The index has been saved.","Индексът беше записан."
"There was a problem with reindexing process.","Намерен е проблем в реиндексиращия процес."
"There was a problem with saving process.","Намерен е проблем в записващия процес."
"Total of %d index(es) have changed index mode.","Общо %d индекса са със сменен режим на индексиране."
"Total of %d index(es) have reindexed data.","Данните за общо %d индекса са обновени."
"Update on Save","Обнови на записване"
