"%s - Discounts and Coupons","%s - Отстъпки и талони"
"%s - Special Products","%s - Специални продукти"
"%s RSS Feed","%s RSS бюлетин"
"%s has reached a quantity of %s.","%s достигна количество %s."
"%s\'s Wishlist","Списък желания на %s"
"Cannot retrieve the wishlist","Невъзможно извличането на списък желания"
"Catalog","Каталог"
"Category Feeds","Категории от бюлетина"
"Click for price","Кликни за цена"
"Comment: %s<br/>","Коментар: %s<br/>"
"Coupons/Discounts","Талони/отстъпки"
"Current Status: %s<br/>","Текущ статус: %s<br/>"
"Customer Name: %s","Име на клиент: %s"
"Customer Order Status Notification","Уведомяване за статус на поръчка на клиент"
"Details for %s #%s","Информация за %s #%s"
"Discount","Намаление"
"Discount (%s)","Намаление (%s)"
"Enable RSS","Активирай RSS"
"Error in processing xml. %s","Грешка в обработка на xml. %s"
"From:","От:"
"Get Feed","Вземете бюлетин"
"Gift Message","Съобщение за подарък"
"Grand Total","Общо"
"Message:","Съобщение:"
"Miscellaneous Feeds","Бюлетин - разни"
"New Orders","Нови поръчки"
"New Products","Нови продукти"
"New Products from %s","Нови продукти от %s"
"Notified Date: %s<br/>","Дата на уведомяване: %s<br/>"
"Order # %s Notification(s)","Уведомявания за поръчка # %s"
"Order #%s created at %s","Поръчка #%s създадена в %s"
"Product: ""%s"" review By: %s","Продукт: ""%s"" мнение от: %s"
"Product: <a href=""%s"">%s</a> <br/>","Продукт: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Продукти маркирани с %s"
"Purchased From: %s","Закупено от: %s"
"RSS","RSS"
"RSS Feeds","RSS бюлетини"
"RSS Feeds List","Списък RSS бюлетини"
"Review: %s <br/>","Мнение: %s <br/>"
"Rss Config","Rss конфигурация"
"Rss Feeds Section","Секция Rss бюлетини"
"Shipping &amp; Handling","Опаковане и доставка"
"Special Products","Специални продукти"
"Store: %s <br/>","Магазин: %s <br/>"
"Subtotal","Междинна сума"
"Summary of review: %s <br/>","Обобщение на мнението: %s <br/>"
"Tags Products","Кл. думи за продукти"
"Tax","Данък"
"There are no Rss Feeds","Няма RSS бюлетини"
"To:","До:"
"Top Level Category","Категория от горно ниво"
"Total: %s<br/>","Сума: %s<br/>"
"Wishlist","Списък с желания"
"click <a href=""%s"">here</a> to view the review","натиснете <a href=""%s"">тук</a> за преглед на мнението"
