"--Please Select--","-- Моля изберете --"
"API Login ID","API ID за вход"
"Accepted Currency","Приета валута"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Card Verification Number"
"Card Verification Number Visual Reference","Визуална референция на верификационен номер на карта"
"Close","Затвори"
"Credit Card Information","Credit Card Information"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Credit Card Types","Видове кредитна карта"
"Credit Card Verification","Верифициране на кредитна карта"
"Debug","Дебъг"
"Email Customer","Имейл за клиент"
"Enabled","Активиран"
"Expiration Date","Дата на изтичане"
"Gateway URL","Gateway URL"
"Maximum Order Total","Максимална обща сума на поръчката"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Имейл на тръговец"
"Minimum Order Total","Минимална обща сума на поръчката"
"New Order Status","Нов статус на поръчката"
"Order saving error: %s","Грешка при записване на поръчката: %s"
"Payment Action","Действие по плащане"
"Payment authorization error.","Грешка при оторизация за плащане."
"Payment authorization error. Transacion id is empty.","Payment authorization error. Transacion id is empty."
"Payment error. Order was not found.","Payment error. Order was not found."
"Payment error. Paid amount doesn\'t match the order amount.","Payment error. Paid amount doesn\'t match the order amount."
"Payment from Applicable Countries","Плащане от наличните държави"
"Payment from Specific Countries","Плащане от избрани държави"
"Please, choose payment method","Please, choose payment method"
"Response hash validation failed. Transaction declined.","Response hash validation failed. Transaction declined."
"Sort Order","Начин на подреждане"
"Test Mode","Тестов режим"
"The order has been created.","Поръчката беше създадена."
"There was an error processing your order. Please contact us or try again later.","Възникна грешка при изпълнение на поръчката. Моля, свържете се с нас или опитайте отново по-късно."
"Title","Заглавие"
"Transaction Key","Ключ на транзакция"
"What is this?","Какво е това?"
"You will be required to enter your payment details before you place an order.","You will be required to enter your payment details before you place an order."
