"Action","Действие"
"An error occurred while writing to the backup file ""%s"".","Възникна грешка при запис във архивен файл ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Не може да се чете от или пише във архивния файл ""%s""."
"Backup file ""%s"" does not exist.","Архивен файл ""%s"" не съществува."
"Backup file does not exist.","Архивен файл не съществува."
"Backup file handler was unspecified.","Не е посочено управление за обработка на архивен файл."
"Backup file path was not specified.","Не е посочен път до архивен файл."
"Backups","Архиви"
"Cannot read backup file.","Архивният файл не може да бъде прочетен."
"Create Backup","Създаване на архивен файл"
"DB","БД"
"Database was successfuly backed up.","Архивен файл на БД успешно създаден."
"Download","Изтегляне"
"Size, Bytes","Размер, Байтове"
"The file was compressed with Zlib, but this extension is not installed on server.","Файлът е компресиран със Zlib, но това разширение не е инсталирано на сървъра."
"Time","Време"
"Type","Тип"
"Unable to create backup. Please, try again later.","Невъзможно създаването на архив. Моля, опитайте отново по-късно."
"Wrong order of creation for new backup.","Грешен ред за създаване на нов архив."
