"* Required Fields","* Задължителни полета"
"-- Select --","-- Изберете --"
"Add New Option","Добави нова опция"
"Add Selection","Добави селекция"
"As Low as","За по-малко от"
"As low as","За по-малко от"
"Bundle Items","Пакетни артикули"
"Bundle Product","Пакетен продукт"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Catalog Product View (Bundle)","Изглед на продуктов каталог (Пакетни)"
"Checkbox","Отметка"
"Choose a selection...","Избор на селекция..."
"Close","Затвори"
"Default","По подразбиране"
"Default Qty","Количество по подразбиране"
"Default Title","Заглавие по подразбиране"
"Drop-down","Падащо меню"
"Dynamic","Динамично"
"Excl. Tax","Без данък"
"Fixed","Фиксирано"
"From","От"
"From:","От:"
"Gift Message","Съобщение за подарък"
"Incl. Tax","С вкл. данък"
"Input Type","Входящ тип"
"Is Required","е задължителен"
"Message:","Съобщение:"
"Multiple Select","Множествен избор"
"N/A","не е налично"
"No options of this product are available.","Не са налични опции за този продукт."
"None","Няма"
"Percent","Процент"
"Percent Discount","Процентна отстъпка"
"Please Select Products to Add","Моля изберете продукти за добавяне"
"Please enter search conditions to view products.","Моля, изберете критерии за търсене, за да видите продукти."
"Please select options for product.","Моля, изберете опции за продукта."
"Please specify product option(s).","Моля, посочете продукт опция(опции)."
"Position","Позиция"
"Price Range","Ценови обхват"
"Price Type","Ценови тип"
"Price as configured","Цена според конфигурация"
"Qty:","Кол.:"
"Radio Buttons","Радио бутони"
"Required options are not selected.","Не са избрани задължителни опции."
"Selected required options are not available.","Избраните задължителни опции са неналични."
"Separately","Отделно"
"Ship Bundle Items","Доставяне на Пакетни артикули"
"Shipment","Доставка"
"Store View Title","Име за Изглед на магазин"
"There is no defined renderer for ""%s"" option type.","Няма дефиниран рендер за опция тип ""%s""."
"This product is also part of bundle(s)","Продуктът е също така и част от пакет(и)"
"To","До"
"To:","До:"
"Together","Заедно"
"Use Default Value","Използвай стойност по подразбиране"
"User Defined Qty","Потребителски дефинирано количество"
