"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Дневно"
"Failure History Lifetime","Пълна хронология на неизпълнени задачи"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","За коректно генериране на уеб адреси по време на изпълнението на задачите, се убедете, че Уеб > Подсигурено и Неподсигурено базово URL за изрично зададени."
"Generate Schedules Every","Генериране на разписания на всеки/всяка"
"History Cleanup Every","Изичстване на хронологията на всеки/всяка"
"Invalid callback: %s::%s does not exist","Невалидно обратно извикване: %s::%s не съществува"
"Invalid model/method definition, expecting ""model/class::method"".","Невалидна дефиниция на модел/метод, очаквано е "модел/класс::метод"."
"Missed if Not Run Within","Пропуснато ако не е стартирано до"
"Monthly","Месечно"
"No callbacks found","Не са намерени обратни извиквания"
"Schedule Ahead for","Планирай за"
"Success History Lifetime","Пълна хронология на успешно изпълнени задачи"
"Too late for the schedule.","Твърде късно за разписанието."
"Unable to save the cron expression.","Невъзможно е записването на cron израза."
"Unknown error.","Непозната грешка."
"Weekly","Седмично"
