"Add Recipient","Add Recipient"
"Allow for Guests","Разреши за гости"
"An invalid email address for recipient was entered.","Въведен е невалиден имейл за получател"
"At least one recipient must be specified.","Трябва да бъде добавен минимум един получател"
"Back","Обратно"
"Catalog Product Email to a Friend","Изпрати продукт на приятел"
"Email Address","Имейл адрес"
"Email Address:","Имейл:"
"Email Templates","Шаблони за имейл"
"Email to a Friend","Изпрати на приятел"
"Email:","Имейл:"
"Enabled","Активиран"
"Invalid Sender Information","Грешна информация за подател"
"Invalid sender email.","Грешен имейл за подател"
"Limit Sending By","Ограничи изпращането по"
"Max Products Sent in 1 Hour","Максимален бр. продукти изпратени за 1 час"
"Max Recipients","Максимален бр. получатели"
"Maximum %d email addresses allowed.","Разрешени са максимум %d имейл адреси."
"Message:","Съобщение:"
"Name","Име"
"Name:","Име:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Моля, посочете правилен Cookie обект"
"Please define a correct Product instance.","Моля посочете правилен продукт обект."
"Please define the correct Sender information.","Моля посочете коректна информация за получател."
"Recipient:","Получател:"
"Remove Email","Премахни имейл"
"Select Email Template","Избери шаблон за имейл"
"Send Email","Изпрати имейл"
"Send product to a friend","Изпрати продукт на приятел"
"Sender:","Подател:"
"Some emails were not sent.","Някои имейли не са изпратени"
"The link to a friend was sent.","Линка до приятел е изпратен."
"The message cannot be empty.","Съобшението не може да бъде празно."
"The messages cannot be sent more than %d times in an hour","Съобщението не може да бъде изпратено повече от %d пъти на час"
"The sender name cannot be empty.","Името на подател не може да бъде празно"
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","You have exceeded limit of %d sends in an hour"
